Entity,Frequency,Area,Data Arrival Time,RunID
FPAdd_f100_VHDL,f100,1819.17,1.79,191108
FPAdd_f200_VHDL,f200,4077.25,1.12,214621
FPAdd_f300_VHDL,f300,4549.13,0.79,214846
FPAdd_f400_VHDL,f400,5708.09,0.69,214939
FPAdd_f500_VHDL,f500,6662.77,0.62,215141
FPAdd_f600_VHDL,f600,7326.17,0.64,215427
FPMult_f100_VHDL,f100,2259.67,0.79,214411
FPMult_f200_VHDL,f200,6053.63,1.38,214839
FPMult_f300_VHDL,f300,6194.08,1.34,214613
FPMult_f400_VHDL,f400,6930.36,1.25,214947
FPMult_f500_VHDL,f500,7188.92,1.24,215133
FPMult_f600_VHDL,f600,7834.76,1.25,215418
