Freq,Type,Variant,Area,MaxDataArrival
100,fpall,4OPS,15485.455851,4.88
100,fpall,5OPS,2534.713983,1.72
100,fpall,6OPS,17197.431849,4.88
100,fpall,7OPS,5766.879997,2.15
100,add,FP32,1787.519988,1.80
100,add,BF16,907.857995,1.43
100,mult,FP32,4334.469999,2.13
100,mult,BF16,844.018000,1.34
200,fpall,4OPS,18292.021752,2.78
200,fpall,5OPS,3510.135948,1.02
200,fpall,6OPS,20666.337730,2.77
200,fpall,7OPS,6176.519972,1.41
200,add,FP32,2209.661971,1.14
200,add,BF16,1049.901985,0.94
200,mult,FP32,4647.285982,1.39
200,mult,BF16,870.883996,1.11
300,fpall,4OPS,21740.711635,1.91
300,fpall,5OPS,4175.401919,0.78
300,fpall,6OPS,24483.703600,1.94
300,fpall,7OPS,6144.865966,1.36
300,add,FP32,2688.461951,0.85
300,add,BF16,1225.993976,0.73
300,mult,FP32,4631.325972,1.37
300,mult,BF16,959.195994,0.77
400,fpall,4OPS,23806.999523,1.70
400,fpall,5OPS,5218.653888,0.71
400,fpall,6OPS,27110.985466,1.68
400,fpall,7OPS,6875.833940,1.32
400,add,FP32,3201.043936,0.72
400,add,BF16,1425.227969,0.65
400,mult,FP32,5285.685958,1.29
400,mult,BF16,1030.749988,0.71
500,fpall,4OPS,26504.771406,1.31
500,fpall,5OPS,6054.957849,0.64
500,fpall,6OPS,31014.535315,1.27
500,fpall,7OPS,7296.379919,1.31
500,add,FP32,3576.369916,0.69
500,add,BF16,1833.537953,0.59
500,mult,FP32,5441.295948,1.28
500,mult,BF16,1138.745983,0.72
600,fpall,4OPS,29224.355307,1.30
600,fpall,5OPS,6482.153833,0.62
600,fpall,6OPS,33408.535213,1.32
600,fpall,7OPS,7953.133895,1.30
600,add,FP32,4144.279896,0.62
600,add,BF16,1975.315950,0.47
600,mult,FP32,5743.205931,1.30
600,mult,BF16,1358.993976,0.59
