Freq,Type,Variant,Area,MaxDataArrival
100,fpall,4OPS,15374.001843,5.00
100,fpall,5OPS,2590.573980,1.80
100,fpall,6OPS,17274.305850,4.92
100,fpall,7OPS,5777.519999,2.25
200,fpall,4OPS,18348.413747,2.77
200,fpall,5OPS,3445.231946,1.22
200,fpall,6OPS,20778.855727,2.79
200,fpall,7OPS,6180.509973,1.51
300,fpall,4OPS,21741.775633,1.91
300,fpall,5OPS,4236.315913,0.89
300,fpall,6OPS,24536.903590,1.92
300,fpall,7OPS,6125.447966,1.47
400,fpall,4OPS,23785.985521,1.70
400,fpall,5OPS,5181.679888,0.82
400,fpall,6OPS,27142.905464,1.69
400,fpall,7OPS,6844.445939,1.40
500,fpall,4OPS,26601.861404,1.40
500,fpall,5OPS,5971.433847,0.80
500,fpall,6OPS,30802.267315,1.40
500,fpall,7OPS,7367.135918,1.42
600,fpall,4OPS,29109.443305,1.41
600,fpall,5OPS,6480.025832,0.48
600,fpall,6OPS,33371.827218,1.39
600,fpall,7OPS,7967.497894,1.40
